,CMPLNT_NUM,CMPLNT_FR_DT
0,112536642,01/01/2016
1,885929488,01/01/2016
2,118456560,01/01/2016
3,685479913,01/01/2016
4,570410616,01/01/2016
5,509240632,01/01/2016
6,418016737,01/01/2016
7,404890055,01/01/2016
8,156095250,01/01/2016
9,190783666,01/01/2016
10,621425183,01/01/2016
11,479509422,01/01/2016
12,631892474,01/01/2016
13,885539002,01/01/2016
14,841999126,01/01/2016
15,917205874,01/01/2016
16,960090358,01/02/2016
17,738303838,01/02/2016
18,938580208,01/03/2016
19,924580793,01/03/2016
20,463494291,01/03/2016
21,536607107,01/04/2016
22,368327014,01/04/2016
23,799945233,01/04/2016
24,950172977,01/05/2016
25,594772833,01/05/2016
26,467026499,01/05/2016
27,985965656,01/05/2016
28,352901453,01/05/2016
29,172381055,01/05/2016
30,206808155,01/05/2016
31,100383471,01/06/2016
32,771559023,01/06/2016
33,536673113,01/07/2016
34,188957878,01/07/2016
35,905190931,01/07/2016
36,734448155,01/07/2016
37,134361802,01/07/2016
38,447681872,01/08/2016
39,669213973,01/09/2016
40,461246615,01/10/2016
41,405533267,01/10/2016
42,800653090,01/11/2016
43,249375400,01/11/2016
44,379960286,01/11/2016
45,732416152,01/11/2016
46,330823001,01/11/2016
47,578144811,01/13/2016
48,169600829,01/14/2016
49,715086706,01/15/2016
50,578482550,01/15/2016
51,402293414,01/15/2016
52,497442797,01/15/2016
53,856494574,01/15/2016
54,452227298,01/15/2016
55,888785217,01/16/2016
56,716489483,01/16/2016
57,385958239,01/16/2016
58,763430514,01/16/2016
59,276525863,01/18/2016
60,796273034,01/18/2016
61,983144911,01/19/2016
62,593068194,01/20/2016
63,723228272,01/20/2016
64,438410881,01/21/2016
65,474890429,01/21/2016
66,264005621,01/22/2016
67,200361792,01/22/2016
68,264490690,01/23/2016
69,515778917,01/23/2016
70,209832984,01/23/2016
71,753188104,01/24/2016
72,106920933,01/24/2016
73,157881896,01/25/2016
74,349069262,01/26/2016
75,413019823,01/26/2016
76,917566666,01/27/2016
77,126030262,01/27/2016
78,562329445,01/27/2016
79,999100999,01/29/2016
80,781036599,01/30/2016
81,111231345,01/30/2016
82,171282406,01/30/2016
83,489872706,02/01/2016
84,328297878,02/01/2016
85,663313836,02/01/2016
86,207792971,02/01/2016
87,721478572,02/01/2016
88,248502640,02/01/2016
89,920750239,02/01/2016
90,410348139,02/01/2016
91,817597936,02/02/2016
92,138713230,02/03/2016
93,186755210,02/03/2016
94,848934033,02/04/2016
95,131615245,02/04/2016
96,688568659,02/04/2016
97,497679486,02/10/2016
98,567895120,02/11/2016
99,260063556,02/11/2016
100,867457623,02/11/2016
101,642219708,02/12/2016
102,792636885,02/12/2016
103,119954786,02/13/2016
104,116851376,02/14/2016
105,132070845,02/15/2016
106,555343624,02/15/2016
107,174733345,02/16/2016
108,862741317,02/17/2016
109,604585818,02/17/2016
110,673566999,02/17/2016
111,623051186,02/19/2016
112,888028646,02/20/2016
113,634195122,02/21/2016
114,621095727,02/23/2016
115,713814403,02/24/2016
116,180844282,02/25/2016
117,919420413,02/26/2016
118,154967322,02/29/2016
119,212983298,03/01/2016
120,777263210,03/01/2016
121,861196827,03/01/2016
122,226124831,03/01/2016
123,733032529,03/01/2016
124,881186877,03/01/2016
125,720899639,03/01/2016
126,181622017,03/01/2016
127,940375500,03/03/2016
128,746940886,03/03/2016
129,327234226,03/03/2016
130,725033259,03/06/2016
131,188292894,03/06/2016
132,492663864,03/07/2016
133,996253856,03/07/2016
134,555986855,03/09/2016
135,848972602,03/09/2016
136,342615405,03/09/2016
137,994070998,03/10/2016
138,124260566,03/10/2016
139,997042429,03/10/2016
140,301430996,03/11/2016
141,306836271,03/11/2016
142,899990618,03/12/2016
143,852257839,03/13/2016
144,284900526,03/14/2016
145,754766406,03/14/2016
146,262959617,03/15/2016
147,656840878,03/16/2016
148,580291088,03/16/2016
149,185266029,03/18/2016
150,494632966,03/18/2016
151,775906569,03/19/2016
152,560930048,03/19/2016
153,111111461,03/19/2016
154,145370641,03/19/2016
155,830102328,03/19/2016
156,798657771,03/20/2016
157,143259486,03/21/2016
158,923701855,03/21/2016
159,400040660,03/23/2016
160,728920278,03/24/2016
161,207546089,03/24/2016
162,306435963,03/25/2016
163,435503339,03/26/2016
164,709164602,03/26/2016
165,129170152,03/28/2016
166,863585625,03/30/2016
167,625434533,03/30/2016
168,714207486,04/01/2016
169,374943359,04/01/2016
170,633526497,04/01/2016
171,573340842,04/01/2016
172,111748684,04/01/2016
173,907637817,04/01/2016
174,348646697,04/01/2016
175,657453691,04/01/2016
176,678278686,04/01/2016
177,825256711,04/01/2016
178,302073897,04/01/2016
179,686035037,04/04/2016
180,617914945,04/04/2016
181,937699914,04/05/2016
182,616645680,04/05/2016
183,819771352,04/05/2016
184,413640802,04/06/2016
185,966854375,04/06/2016
186,742126336,04/06/2016
187,911442855,04/09/2016
188,260482871,04/09/2016
189,543907609,04/10/2016
190,104272613,04/10/2016
191,857318248,04/10/2016
192,802129946,04/11/2016
193,258926719,04/12/2016
194,943432264,04/12/2016
195,176139455,04/14/2016
196,842370487,04/14/2016
197,195184284,04/15/2016
198,160536706,04/16/2016
199,300081729,04/16/2016
200,227218822,04/16/2016
201,392470639,04/16/2016
202,919397853,04/17/2016
203,730637901,04/19/2016
204,936799715,04/19/2016
205,380044125,04/19/2016
206,178780638,04/20/2016
207,134584376,04/21/2016
208,236705500,04/21/2016
209,185099992,04/21/2016
210,298200668,04/22/2016
211,284619651,04/23/2016
212,785139294,04/25/2016
213,501773203,04/26/2016
214,113748745,04/28/2016
215,805567908,04/29/2016
216,135486193,04/29/2016
217,579783401,04/29/2016
218,107658265,05/01/2016
219,678193143,05/01/2016
220,805606775,05/01/2016
221,144411130,05/01/2016
222,799343896,05/01/2016
223,123312388,05/01/2016
224,122003509,05/01/2016
225,389299347,05/01/2016
226,943875587,05/01/2016
227,111079578,05/01/2016
228,936829240,05/01/2016
229,129963564,05/01/2016
230,700358183,05/02/2016
231,337898045,05/02/2016
232,203489402,05/04/2016
233,792031521,05/05/2016
234,840602624,05/06/2016
235,832396848,05/06/2016
236,447837601,05/06/2016
237,807547397,05/06/2016
238,628198303,05/06/2016
239,806061573,05/07/2016
240,456520544,05/09/2016
241,298202755,05/10/2016
242,385520344,05/10/2016
243,644247365,05/11/2016
244,521671822,05/11/2016
245,792475326,05/11/2016
246,635300013,05/12/2016
247,280593850,05/12/2016
248,575269682,05/14/2016
249,716607825,05/14/2016
250,764734824,05/15/2016
251,215220468,05/15/2016
252,498939901,05/15/2016
253,934763375,05/15/2016
254,249172618,05/16/2016
255,460592742,05/16/2016
256,519045310,05/18/2016
257,959634222,05/18/2016
258,584900904,05/18/2016
259,259953127,05/21/2016
260,529669232,05/21/2016
261,463770714,05/22/2016
262,327595546,05/22/2016
263,452063356,05/23/2016
264,259585450,05/23/2016
265,717250112,05/23/2016
266,822227915,05/24/2016
267,818744093,05/24/2016
268,788897843,05/25/2016
269,289983990,05/25/2016
270,813961990,05/25/2016
271,818397805,05/25/2016
272,786973329,05/25/2016
273,894495355,05/27/2016
274,144827875,05/28/2016
275,593586472,05/28/2016
276,113621077,05/29/2016
277,820917334,05/29/2016
278,561083373,05/29/2016
279,807545069,05/31/2016
280,515300491,06/01/2016
281,802259740,06/01/2016
282,328263909,06/01/2016
283,303615380,06/01/2016
284,411774152,06/01/2016
285,865350689,06/01/2016
286,652968789,06/01/2016
287,741605878,06/01/2016
288,310004486,06/01/2016
289,269904511,06/01/2016
290,622302953,06/01/2016
291,302648850,06/01/2016
292,597007146,06/01/2016
293,526150059,06/01/2016
294,211011083,06/01/2016
295,486462595,06/01/2016
296,665975643,06/01/2016
297,115039115,06/01/2016
298,564296516,06/01/2016
299,258192641,06/01/2016
300,475699897,06/01/2016
301,122848904,06/01/2016
302,875059753,06/01/2016
303,648541847,06/01/2016
304,497119092,06/01/2016
305,161819679,06/02/2016
306,837979783,06/02/2016
307,231465224,06/02/2016
308,396173855,06/02/2016
309,435822130,06/03/2016
310,417972423,06/04/2016
311,932441087,06/04/2016
312,704084224,06/04/2016
313,153708545,06/04/2016
314,249133834,06/05/2016
315,741837119,06/06/2016
316,702631671,06/06/2016
317,924176889,06/06/2016
318,424988746,06/06/2016
319,477900081,06/06/2016
320,956233152,06/07/2016
321,823504840,06/08/2016
322,942682278,06/08/2016
323,119682262,06/08/2016
324,301371294,06/08/2016
325,869409470,06/09/2016
326,919685851,06/09/2016
327,967676676,06/10/2016
328,451364271,06/11/2016
329,516022576,06/11/2016
330,230950907,06/12/2016
331,199445906,06/13/2016
332,209583225,06/13/2016
333,552758057,06/13/2016
334,880744809,06/14/2016
335,129457282,06/14/2016
336,812094415,06/15/2016
337,901402277,06/15/2016
338,965632345,06/15/2016
339,339009425,06/15/2016
340,811779307,06/15/2016
341,229357081,06/15/2016
342,409769282,06/15/2016
343,254744476,06/16/2016
344,548626126,06/16/2016
345,833328195,06/16/2016
346,538245439,06/16/2016
347,223219849,06/16/2016
348,792669383,06/17/2016
349,979394707,06/17/2016
350,901832992,06/17/2016
351,196096765,06/17/2016
352,300489679,06/17/2016
353,738505444,06/18/2016
354,191569692,06/18/2016
355,475288342,06/18/2016
356,843376105,06/19/2016
357,744447972,06/19/2016
358,189044446,06/19/2016
359,921783151,06/20/2016
360,358907882,06/21/2016
361,612680292,06/21/2016
362,531744172,06/23/2016
363,214581871,06/23/2016
364,841871237,06/24/2016
365,967458777,06/24/2016
366,284003780,06/25/2016
367,352119053,06/25/2016
368,283986586,06/26/2016
369,579533377,06/26/2016
370,742171399,06/26/2016
371,538654198,06/26/2016
372,208758384,06/26/2016
373,986504871,06/28/2016
374,914625732,06/28/2016
375,605693144,06/28/2016
376,692182335,06/28/2016
377,281385030,06/28/2016
378,257770534,06/29/2016
379,105183287,06/29/2016
380,705953578,06/30/2016
381,445603752,06/30/2016
382,454166776,06/30/2016
383,565366511,06/30/2016
384,525521715,06/30/2016
385,294462757,06/30/2016
386,271903389,07/01/2016
387,216054655,07/01/2016
388,811424590,07/01/2016
389,147003090,07/01/2016
390,855015806,07/01/2016
391,659577906,07/01/2016
392,682761947,07/01/2016
393,936951554,07/01/2016
394,505003969,07/01/2016
395,740222029,07/01/2016
396,218442042,07/01/2016
397,115970275,07/01/2016
398,271458726,07/01/2016
399,131582349,07/01/2016
400,874106208,07/01/2016
401,924220839,07/01/2016
402,713961414,07/01/2016
403,317484616,07/01/2016
404,900213967,07/01/2016
405,937148085,07/01/2016
406,317244433,07/01/2016
407,122371593,07/02/2016
408,375737689,07/02/2016
409,524854203,07/02/2016
410,821689292,07/03/2016
411,866887768,07/03/2016
412,143194533,07/04/2016
413,582427196,07/04/2016
414,498853722,07/04/2016
415,164862392,07/05/2016
416,381636038,07/05/2016
417,573565211,07/07/2016
418,758483525,07/07/2016
419,551797553,07/07/2016
420,479698410,07/07/2016
421,512849776,07/07/2016
422,675965250,07/08/2016
423,530544824,07/08/2016
424,922444912,07/09/2016
425,618619273,07/10/2016
426,830542881,07/10/2016
427,619086736,07/11/2016
428,794377786,07/11/2016
429,756518304,07/11/2016
430,467960956,07/11/2016
431,811352970,07/11/2016
432,528033326,07/13/2016
433,870554602,07/14/2016
